month,academia_questions
2011-10-01,3
2011-11-01,1
2012-02-01,115
2012-03-01,107
2012-04-01,103
2012-05-01,130
2012-06-01,104
2012-07-01,109
2012-08-01,87
2012-09-01,87
2012-10-01,127
2012-11-01,102
2012-12-01,102
2013-01-01,149
2013-02-01,134
2013-03-01,144
2013-04-01,163
2013-05-01,141
2013-06-01,116
2013-07-01,161
2013-08-01,196
2013-09-01,180
2013-10-01,184
2013-11-01,179
2013-12-01,190
2014-01-01,232
2014-02-01,272
2014-03-01,270
2014-04-01,298
2014-05-01,339
2014-06-01,327
2014-07-01,303
2014-08-01,237
2014-09-01,339
2014-10-01,417
2014-11-01,356
2014-12-01,358
2015-01-01,437
2015-02-01,425
2015-03-01,440
2015-04-01,418
2015-05-01,416
2015-06-01,368
2015-07-01,382
2015-08-01,390
2015-09-01,348
2015-10-01,435
2015-11-01,446
2015-12-01,387
2016-01-01,358
2016-02-01,413
2016-03-01,429
2016-04-01,452
2016-05-01,402
2016-06-01,417
2016-07-01,348
2016-08-01,415
2016-09-01,340
2016-10-01,368
2016-11-01,428
2016-12-01,409
2017-01-01,442
2017-02-01,380
2017-03-01,432
2017-04-01,346
2017-05-01,367
2017-06-01,350
2017-07-01,351
2017-08-01,322
2017-09-01,316
2017-10-01,352
2017-11-01,355
2017-12-01,405
2018-01-01,419
2018-02-01,411
2018-03-01,402
2018-04-01,407
2018-05-01,402
2018-06-01,363
2018-07-01,357
2018-08-01,401
2018-09-01,366
2018-10-01,369
2018-11-01,372
2018-12-01,336
2019-01-01,415
2019-02-01,368
2019-03-01,383
2019-04-01,379
2019-05-01,332
2019-06-01,314
2019-07-01,322
2019-08-01,332
2019-09-01,331
2019-10-01,379
2019-11-01,392
2019-12-01,324
2020-01-01,350
2020-02-01,289
2020-03-01,330
2020-04-01,353
2020-05-01,332
2020-06-01,356
2020-07-01,295
2020-08-01,318
2020-09-01,367
2020-10-01,331
2020-11-01,328
2020-12-01,324
2021-01-01,341
2021-02-01,282
2021-03-01,382
2021-04-01,294
2021-05-01,357
2021-06-01,296
2021-07-01,317
2021-08-01,307
2021-09-01,289
2021-10-01,327
2021-11-01,297
2021-12-01,271
2022-01-01,251
2022-02-01,238
2022-03-01,208
2022-04-01,208
2022-05-01,213
2022-06-01,195
2022-07-01,213
2022-08-01,216
2022-09-01,250
2022-10-01,222
2022-11-01,256
2022-12-01,218
2023-01-01,251
2023-02-01,211
2023-03-01,240
2023-04-01,246
2023-05-01,262
2023-06-01,226
2023-07-01,215
2023-08-01,262
2023-09-01,263
2023-10-01,257
2023-11-01,255
2023-12-01,208
2024-01-01,255
2024-02-01,181
2024-03-01,212
2024-04-01,228
2024-05-01,197
2024-06-01,171
2024-07-01,163
2024-08-01,157
2024-09-01,154
2024-10-01,164
2024-11-01,126
2024-12-01,109
2025-01-01,141
2025-02-01,124
2025-03-01,114
2025-04-01,121
2025-05-01,107
2025-06-01,104
2025-07-01,87
2025-08-01,85
2025-09-01,77
2025-10-01,81
2025-11-01,68
2025-12-01,54
2026-01-01,69
2026-02-01,48
