month,ai_questions
2016-08-01,238
2016-09-01,55
2016-10-01,42
2016-11-01,39
2016-12-01,51
2017-01-01,48
2017-02-01,36
2017-03-01,50
2017-04-01,39
2017-05-01,43
2017-06-01,39
2017-07-01,41
2017-08-01,64
2017-09-01,66
2017-10-01,68
2017-11-01,50
2017-12-01,70
2018-01-01,78
2018-02-01,70
2018-03-01,81
2018-04-01,96
2018-05-01,96
2018-06-01,81
2018-07-01,100
2018-08-01,114
2018-09-01,111
2018-10-01,129
2018-11-01,130
2018-12-01,113
2019-01-01,139
2019-02-01,161
2019-03-01,201
2019-04-01,171
2019-05-01,183
2019-06-01,162
2019-07-01,197
2019-08-01,175
2019-09-01,135
2019-10-01,168
2019-11-01,242
2019-12-01,211
2020-01-01,198
2020-02-01,236
2020-03-01,231
2020-04-01,311
2020-05-01,280
2020-06-01,239
2020-07-01,212
2020-08-01,186
2020-09-01,167
2020-10-01,150
2020-11-01,174
2020-12-01,182
2021-01-01,194
2021-02-01,159
2021-03-01,153
2021-04-01,159
2021-05-01,152
2021-06-01,161
2021-07-01,174
2021-08-01,194
2021-09-01,152
2021-10-01,126
2021-11-01,122
2021-12-01,116
2022-01-01,111
2022-02-01,92
2022-03-01,117
2022-04-01,91
2022-05-01,112
2022-06-01,137
2022-07-01,146
2022-08-01,112
2022-09-01,101
2022-10-01,136
2022-11-01,114
2022-12-01,109
2023-01-01,111
2023-02-01,109
2023-03-01,151
2023-04-01,136
2023-05-01,147
2023-06-01,165
2023-07-01,187
2023-08-01,134
2023-09-01,150
2023-10-01,161
2023-11-01,146
2023-12-01,120
2024-01-01,157
2024-02-01,139
2024-03-01,178
2024-04-01,91
2024-05-01,82
2024-06-01,73
2024-07-01,71
2024-08-01,72
2024-09-01,78
2024-10-01,51
2024-11-01,95
2024-12-01,82
2025-01-01,81
2025-02-01,68
2025-03-01,64
2025-04-01,59
2025-05-01,57
2025-06-01,31
2025-07-01,49
2025-08-01,47
2025-09-01,26
2025-10-01,29
2025-11-01,18
2025-12-01,29
2026-01-01,25
2026-02-01,34
