month,astronomy_questions
2013-09-01,119
2013-10-01,126
2013-11-01,72
2013-12-01,82
2014-01-01,93
2014-02-01,98
2014-03-01,64
2014-04-01,89
2014-05-01,98
2014-06-01,66
2014-07-01,82
2014-08-01,74
2014-09-01,79
2014-10-01,116
2014-11-01,76
2014-12-01,99
2015-01-01,94
2015-02-01,85
2015-03-01,112
2015-04-01,97
2015-05-01,56
2015-06-01,91
2015-07-01,112
2015-08-01,92
2015-09-01,87
2015-10-01,131
2015-11-01,122
2015-12-01,91
2016-01-01,137
2016-02-01,169
2016-03-01,131
2016-04-01,113
2016-05-01,109
2016-06-01,117
2016-07-01,107
2016-08-01,130
2016-09-01,115
2016-10-01,121
2016-11-01,120
2016-12-01,99
2017-01-01,100
2017-02-01,106
2017-03-01,106
2017-04-01,101
2017-05-01,78
2017-06-01,100
2017-07-01,110
2017-08-01,124
2017-09-01,109
2017-10-01,100
2017-11-01,74
2017-12-01,111
2018-01-01,113
2018-02-01,111
2018-03-01,109
2018-04-01,114
2018-05-01,99
2018-06-01,105
2018-07-01,115
2018-08-01,111
2018-09-01,102
2018-10-01,129
2018-11-01,123
2018-12-01,124
2019-01-01,143
2019-02-01,132
2019-03-01,128
2019-04-01,166
2019-05-01,141
2019-06-01,126
2019-07-01,129
2019-08-01,108
2019-09-01,111
2019-10-01,98
2019-11-01,110
2019-12-01,140
2020-01-01,136
2020-02-01,158
2020-03-01,127
2020-04-01,132
2020-05-01,139
2020-06-01,131
2020-07-01,189
2020-08-01,152
2020-09-01,165
2020-10-01,168
2020-11-01,178
2020-12-01,179
2021-01-01,192
2021-02-01,172
2021-03-01,171
2021-04-01,149
2021-05-01,173
2021-06-01,197
2021-07-01,148
2021-08-01,189
2021-09-01,131
2021-10-01,129
2021-11-01,117
2021-12-01,118
2022-01-01,138
2022-02-01,95
2022-03-01,109
2022-04-01,98
2022-05-01,93
2022-06-01,107
2022-07-01,144
2022-08-01,101
2022-09-01,105
2022-10-01,122
2022-11-01,92
2022-12-01,114
2023-01-01,101
2023-02-01,96
2023-03-01,92
2023-04-01,106
2023-05-01,106
2023-06-01,100
2023-07-01,80
2023-08-01,98
2023-09-01,107
2023-10-01,96
2023-11-01,104
2023-12-01,74
2024-01-01,88
2024-02-01,66
2024-03-01,104
