month,cogsci_questions
2011-06-01,2
2011-08-01,1
2011-10-01,5
2011-11-01,1
2012-01-01,85
2012-02-01,77
2012-03-01,56
2012-04-01,31
2012-05-01,48
2012-06-01,78
2012-07-01,49
2012-08-01,33
2012-09-01,31
2012-10-01,40
2012-11-01,52
2012-12-01,44
2013-01-01,37
2013-02-01,31
2013-03-01,40
2013-04-01,44
2013-05-01,42
2013-06-01,63
2013-07-01,80
2013-08-01,165
2013-09-01,84
2013-10-01,71
2013-11-01,49
2013-12-01,66
2014-01-01,99
2014-02-01,93
2014-03-01,96
2014-04-01,67
2014-05-01,57
2014-06-01,63
2014-07-01,73
2014-08-01,58
2014-09-01,63
2014-10-01,66
2014-11-01,91
2014-12-01,79
2015-01-01,81
2015-02-01,84
2015-03-01,71
2015-04-01,71
2015-05-01,91
2015-06-01,85
2015-07-01,86
2015-08-01,100
2015-09-01,89
2015-10-01,72
2015-11-01,81
2015-12-01,79
2016-01-01,97
2016-02-01,72
2016-03-01,76
2016-04-01,58
2016-05-01,93
2016-06-01,66
2016-07-01,56
2016-08-01,71
2016-09-01,47
2016-10-01,48
2016-11-01,50
2016-12-01,55
2017-01-01,50
2017-02-01,59
2017-03-01,64
2017-04-01,60
2017-05-01,57
2017-06-01,69
2017-07-01,47
2017-08-01,58
2017-09-01,57
2017-10-01,53
2017-11-01,71
2017-12-01,73
2018-01-01,75
2018-02-01,49
2018-03-01,55
2018-04-01,69
2018-05-01,65
2018-06-01,69
2018-07-01,85
2018-08-01,74
2018-09-01,79
2018-10-01,54
2018-11-01,42
2018-12-01,45
2019-01-01,66
2019-02-01,41
2019-03-01,65
2019-04-01,71
2019-05-01,67
2019-06-01,56
2019-07-01,61
2019-08-01,72
2019-09-01,88
2019-10-01,59
2019-11-01,54
2019-12-01,33
2020-01-01,47
2020-02-01,45
2020-03-01,29
2020-04-01,47
2020-05-01,38
2020-06-01,53
2020-07-01,49
2020-08-01,46
2020-09-01,33
2020-10-01,38
2020-11-01,41
2020-12-01,48
2021-01-01,42
2021-02-01,46
2021-03-01,48
2021-04-01,32
2021-05-01,45
2021-06-01,44
2021-07-01,47
2021-08-01,44
2021-09-01,35
2021-10-01,41
2021-11-01,40
2021-12-01,47
2022-01-01,34
2022-02-01,23
2022-03-01,26
2022-04-01,28
2022-05-01,29
2022-06-01,21
2022-07-01,25
2022-08-01,21
2022-09-01,46
2022-10-01,30
2022-11-01,28
2022-12-01,20
2023-01-01,26
2023-02-01,20
2023-03-01,30
2023-04-01,37
2023-05-01,26
2023-06-01,27
2023-07-01,32
2023-08-01,36
2023-09-01,27
2023-10-01,17
2023-11-01,30
2023-12-01,13
2024-01-01,29
2024-02-01,20
2024-03-01,26
2024-04-01,14
2024-05-01,12
2024-06-01,13
2024-07-01,21
2024-08-01,10
2024-09-01,12
2024-10-01,8
2024-11-01,11
2024-12-01,14
2025-01-01,16
2025-02-01,14
2025-03-01,10
2025-04-01,9
2025-05-01,8
2025-06-01,8
2025-07-01,5
2025-08-01,6
2025-09-01,11
2025-10-01,13
2025-11-01,9
2025-12-01,10
2026-01-01,9
2026-02-01,7
