term,estimate,std_error,statistic,p_value,stars,ci_lo,ci_hi
const,-2.0044187663825763e-16,0.010426818764462425,-1.9223684727447338e-14,0.9999999999999847,,-0.020436564778346555,0.020436564778346152
post_copilot_beta,-2.312652063927654e-16,1.1128846297112096e-16,-2.0780699114586394,0.037702920465933876,*,-4.493905938161624e-16,-1.3139818969368349e-17
post_copilot_ga,-1.3780915621928062e-16,1.4714287170423278e-16,-0.9365669884184837,0.34898133941731124,,-4.262091847595768e-16,1.505908723210156e-16
post_chatgpt,-5.778730012323715e-17,1.7894026538441018e-16,-0.3229418487733603,0.7467392821608103,,-4.085102202766811e-16,2.9293562003020675e-16
post_gpt4,-1.6721617185211863e-16,1.6221691825215776e-16,-1.0308183243389557,0.3026260234951854,,-4.851613316263478e-16,1.5072898792211057e-16
post_llama2,-4.236732248171065e-17,7.180796499397422e-17,-0.5900086778014934,0.555184831694617,,-1.8311093386990014e-16,9.837628890647883e-17
post_code_llama,1.6157524907298512e-16,2.3457949237182415e-16,0.6887867623861917,0.49095746722713896,,-2.9820055597579027e-16,6.213510541217605e-16
post_devin,0.0,0.0,,,,0.0,0.0
post_claude35,0.0,0.0,,,,0.0,0.0
did_copilot_beta,0.1655420082347375,0.17461107831096995,0.9480613133831001,0.3430982414798761,,-0.1766957052547636,0.5077797217242386
did_copilot_ga,0.32937781949779915,0.2850005034808836,1.1557096056845813,0.24779995779279174,,-0.22922316732473275,0.8879788063203311
did_chatgpt,0.03896461598735801,0.3936121747383733,0.09899240543882329,0.9211443000681767,,-0.7325152464998537,0.8104444784745697
did_gpt4,-0.9380924396483941,0.40473250441734887,-2.3178085016889556,0.020459730857398193,*,-1.7313681483063978,-0.14481673099039027
did_llama2,0.25715660521728056,0.3456139619710288,0.7440573400181003,0.45684178626250793,,-0.4202467602459359,0.934559970680497
did_code_llama,0.34477240738925236,0.3317342350190533,1.039303065507997,0.29866380959807615,,-0.3054266932480921,0.9949715080265968
did_devin,0.0,0.0,,,,0.0,0.0
did_claude35,0.0,0.0,,,,0.0,0.0
