month,law_questions
2015-05-01,113
2015-06-01,215
2015-07-01,217
2015-08-01,264
2015-09-01,300
2015-10-01,301
2015-11-01,253
2015-12-01,223
2016-01-01,261
2016-02-01,251
2016-03-01,266
2016-04-01,249
2016-05-01,262
2016-06-01,235
2016-07-01,233
2016-08-01,237
2016-09-01,232
2016-10-01,201
2016-11-01,214
2016-12-01,185
2017-01-01,213
2017-02-01,221
2017-03-01,227
2017-04-01,188
2017-05-01,197
2017-06-01,213
2017-07-01,224
2017-08-01,253
2017-09-01,225
2017-10-01,226
2017-11-01,262
2017-12-01,182
2018-01-01,257
2018-02-01,238
2018-03-01,280
2018-04-01,285
2018-05-01,328
2018-06-01,248
2018-07-01,236
2018-08-01,263
2018-09-01,245
2018-10-01,277
2018-11-01,266
2018-12-01,271
2019-01-01,304
2019-02-01,334
2019-03-01,303
2019-04-01,297
2019-05-01,318
2019-06-01,283
2019-07-01,264
2019-08-01,327
2019-09-01,273
2019-10-01,307
2019-11-01,309
2019-12-01,269
2020-01-01,276
2020-02-01,307
2020-03-01,263
2020-04-01,280
2020-05-01,278
2020-06-01,325
2020-07-01,323
2020-08-01,335
2020-09-01,300
2020-10-01,303
2020-11-01,381
2020-12-01,296
2021-01-01,306
2021-02-01,276
2021-03-01,303
2021-04-01,300
2021-05-01,265
2021-06-01,280
2021-07-01,339
2021-08-01,339
2021-09-01,319
2021-10-01,269
2021-11-01,275
2021-12-01,225
2022-01-01,290
2022-02-01,226
2022-03-01,263
2022-04-01,266
2022-05-01,320
2022-06-01,334
2022-07-01,335
2022-08-01,400
2022-09-01,358
2022-10-01,309
2022-11-01,299
2022-12-01,297
2023-01-01,345
2023-02-01,328
2023-03-01,369
2023-04-01,286
2023-05-01,238
2023-06-01,245
2023-07-01,237
2023-08-01,235
2023-09-01,249
2023-10-01,351
2023-11-01,261
2023-12-01,239
2024-01-01,282
2024-02-01,239
2024-03-01,228
