month,music_questions
2011-01-01,202
2011-02-01,52
2011-03-01,64
2011-04-01,143
2011-05-01,189
2011-06-01,90
2011-07-01,61
2011-08-01,53
2011-09-01,67
2011-10-01,57
2011-11-01,64
2011-12-01,55
2012-01-01,62
2012-02-01,57
2012-03-01,43
2012-04-01,60
2012-05-01,70
2012-06-01,38
2012-07-01,50
2012-08-01,60
2012-09-01,62
2012-10-01,64
2012-11-01,51
2012-12-01,65
2013-01-01,69
2013-02-01,57
2013-03-01,72
2013-04-01,54
2013-05-01,70
2013-06-01,52
2013-07-01,68
2013-08-01,69
2013-09-01,63
2013-10-01,95
2013-11-01,77
2013-12-01,112
2014-01-01,118
2014-02-01,123
2014-03-01,119
2014-04-01,136
2014-05-01,158
2014-06-01,151
2014-07-01,189
2014-08-01,150
2014-09-01,195
2014-10-01,124
2014-11-01,162
2014-12-01,177
2015-01-01,225
2015-02-01,202
2015-03-01,192
2015-04-01,158
2015-05-01,149
2015-06-01,199
2015-07-01,180
2015-08-01,187
2015-09-01,193
2015-10-01,160
2015-11-01,163
2015-12-01,175
2016-01-01,194
2016-02-01,177
2016-03-01,148
2016-04-01,186
2016-05-01,219
2016-06-01,170
2016-07-01,189
2016-08-01,174
2016-09-01,174
2016-10-01,173
2016-11-01,164
2016-12-01,228
2017-01-01,257
2017-02-01,202
2017-03-01,193
2017-04-01,227
2017-05-01,203
2017-06-01,197
2017-07-01,179
2017-08-01,179
2017-09-01,194
2017-10-01,193
2017-11-01,191
2017-12-01,222
2018-01-01,293
2018-02-01,230
2018-03-01,236
2018-04-01,229
2018-05-01,209
2018-06-01,207
2018-07-01,191
2018-08-01,241
2018-09-01,180
2018-10-01,221
2018-11-01,246
2018-12-01,250
2019-01-01,304
2019-02-01,255
2019-03-01,347
2019-04-01,262
2019-05-01,229
2019-06-01,207
2019-07-01,217
2019-08-01,227
2019-09-01,237
2019-10-01,263
2019-11-01,246
2019-12-01,264
2020-01-01,261
2020-02-01,201
2020-03-01,251
2020-04-01,310
2020-05-01,293
2020-06-01,289
2020-07-01,234
2020-08-01,220
2020-09-01,187
2020-10-01,184
2020-11-01,222
2020-12-01,244
2021-01-01,247
2021-02-01,253
2021-03-01,247
2021-04-01,208
2021-05-01,198
2021-06-01,195
2021-07-01,161
2021-08-01,142
2021-09-01,183
2021-10-01,170
2021-11-01,159
2021-12-01,157
2022-01-01,166
2022-02-01,153
2022-03-01,138
2022-04-01,140
2022-05-01,143
2022-06-01,117
2022-07-01,131
2022-08-01,137
2022-09-01,127
2022-10-01,128
2022-11-01,123
2022-12-01,107
2023-01-01,151
2023-02-01,142
2023-03-01,134
2023-04-01,119
2023-05-01,119
2023-06-01,129
2023-07-01,129
2023-08-01,128
2023-09-01,119
2023-10-01,115
2023-11-01,111
2023-12-01,111
2024-01-01,111
2024-02-01,118
2024-03-01,114
2024-04-01,82
2024-05-01,96
2024-06-01,92
2024-07-01,83
2024-08-01,71
2024-09-01,81
2024-10-01,66
2024-11-01,67
2024-12-01,67
2025-01-01,67
2025-02-01,51
2025-03-01,67
2025-04-01,57
2025-05-01,51
2025-06-01,45
2025-07-01,51
2025-08-01,52
2025-09-01,44
2025-10-01,30
2025-11-01,35
2025-12-01,30
2026-01-01,47
2026-02-01,36
