month,physics_questions
2010-08-01,1
2010-09-01,1
2010-11-01,378
2010-12-01,237
2011-01-01,447
2011-02-01,441
2011-03-01,449
2011-04-01,403
2011-05-01,406
2011-06-01,507
2011-07-01,435
2011-08-01,379
2011-09-01,427
2011-10-01,490
2011-11-01,493
2011-12-01,452
2012-01-01,498
2012-02-01,492
2012-03-01,512
2012-04-01,538
2012-05-01,533
2012-06-01,557
2012-07-01,647
2012-08-01,626
2012-09-01,716
2012-10-01,742
2012-11-01,760
2012-12-01,741
2013-01-01,835
2013-02-01,855
2013-03-01,989
2013-04-01,1038
2013-05-01,1174
2013-06-01,909
2013-07-01,985
2013-08-01,927
2013-09-01,1010
2013-10-01,1229
2013-11-01,1052
2013-12-01,1112
2014-01-01,1309
2014-02-01,1353
2014-03-01,1543
2014-04-01,1477
2014-05-01,1416
2014-06-01,1367
2014-07-01,1385
2014-08-01,1384
2014-09-01,1558
2014-10-01,1555
2014-11-01,1637
2014-12-01,1584
2015-01-01,1780
2015-02-01,1504
2015-03-01,1750
2015-04-01,1785
2015-05-01,1745
2015-06-01,1527
2015-07-01,1477
2015-08-01,1641
2015-09-01,1566
2015-10-01,1771
2015-11-01,1685
2015-12-01,1597
2016-01-01,2010
2016-02-01,2093
2016-03-01,1805
2016-04-01,1960
2016-05-01,1724
2016-06-01,1576
2016-07-01,1548
2016-08-01,1609
2016-09-01,1750
2016-10-01,2030
2016-11-01,1754
2016-12-01,1846
2017-01-01,1997
2017-02-01,1958
2017-03-01,2166
2017-04-01,1885
2017-05-01,1985
2017-06-01,1636
2017-07-01,1506
2017-08-01,1507
2017-09-01,1504
2017-10-01,1693
2017-11-01,1563
2017-12-01,1514
2018-01-01,1747
2018-02-01,1620
2018-03-01,1943
2018-04-01,1814
2018-05-01,1904
2018-06-01,1564
2018-07-01,1479
2018-08-01,1626
2018-09-01,1645
2018-10-01,1752
2018-11-01,1740
2018-12-01,1773
2019-01-01,1961
2019-02-01,1657
2019-03-01,1922
2019-04-01,1999
2019-05-01,2118
2019-06-01,1789
2019-07-01,1775
2019-08-01,1591
2019-09-01,1552
2019-10-01,1748
2019-11-01,1694
2019-12-01,1603
2020-01-01,1880
2020-02-01,1734
2020-03-01,1843
2020-04-01,2273
2020-05-01,2417
2020-06-01,2147
2020-07-01,2006
2020-08-01,1855
2020-09-01,1975
2020-10-01,2149
2020-11-01,2002
2020-12-01,2110
2021-01-01,2230
2021-02-01,1923
2021-03-01,2269
2021-04-01,2154
2021-05-01,2283
2021-06-01,1963
2021-07-01,1732
2021-08-01,1789
2021-09-01,1770
2021-10-01,1754
2021-11-01,1674
2021-12-01,1626
2022-01-01,1791
2022-02-01,1597
2022-03-01,1489
2022-04-01,1528
2022-05-01,1681
2022-06-01,1592
2022-07-01,1427
2022-08-01,1500
2022-09-01,1423
2022-10-01,1441
2022-11-01,1371
2022-12-01,1332
2023-01-01,1683
2023-02-01,1235
2023-03-01,1355
2023-04-01,1446
2023-05-01,1481
2023-06-01,1325
2023-07-01,1401
2023-08-01,1485
2023-09-01,1366
2023-10-01,1373
2023-11-01,1367
2023-12-01,1279
2024-01-01,1396
2024-02-01,1288
2024-03-01,1488
