week_dt,stackoverflow,math,physics,stats,biology,history,philosophy,economics,cooking,travel,serverfault,superuser
2022-07-04,24965,1607,324,248,25,12,34,31,9,53,173,379
2022-07-11,25450,1638,317,291,15,11,27,23,14,47,187,378
2022-07-18,26581,1588,339,289,24,14,39,20,9,49,187,374
2022-07-25,25769,1476,309,296,19,14,45,23,16,52,183,388
2022-08-01,25495,1465,296,304,19,15,39,29,21,55,178,375
2022-08-08,25593,1459,340,285,14,15,34,23,23,50,183,365
2022-08-15,24886,1467,350,308,17,11,40,31,13,65,198,378
2022-08-22,25089,1516,345,288,22,12,30,25,16,54,198,381
2022-08-29,23712,1463,337,258,18,17,30,33,30,37,225,347
2022-09-05,23742,1607,308,272,23,22,24,39,20,58,175,374
